Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,total vat,total inc vat
121011802,Smart Therapy Bandag 100pcs (mix),1,505434,12/1/2030,20.00 ,12,240,4.2,84,4.2,84,0,0,84
121011803,Smart Therapy Bandag 50pcs (mix),1,465627,12/1/2030,20.00 ,9,180,3.25,65,3.25,65,0,0,65
151001514,Smart Therapy Coll Spots Assorted 24pcs,1,498888,10/10/2027,1.00 ,10,10,3.35,3.35,3.35,3.35,0,0,3.35
151001145,Smart Twist 14019,1,250525,12/1/2030,2.00 ,13,26,13,26,8.45,16.9,0.15,2.54,19.44
111003803,Snafi 5mg tab,2002401,545683,7/16/2026,1.00 ,136.15,136.15,136.15,136.15,85.25,85.25,0,0,85.25
111002151,Snafi tabs 20 mg RMBP  4 p,1154542,526334,1/1/2026,12.75 ,88.95,1134.11,88.95,1134.11,36.02,459.32,0,0,459.32
121008551,Soffel Floral 50ml Tube,1,517189,6/30/2025,1.00 ,17,17,10,10,10,10,0.15,1.5,11.5
121004344,Soft and Beautiful Coarse (Zawraa),1,548102,5/15/2028,5.00 ,45,225,23.25,116.25,23.25,116.25,0.15,17.44,133.69
121004345,Soft and Beautiful Regular (Zawraa),1,548101,5/16/2028,6.00 ,45,270,23.25,139.5,23.25,139.5,0.15,20.93,160.43
143000361,Sofy Antibacterial Musk Large 29cm 3x52,1,455334,12/1/2030,1.00 ,28,28,24.25,24.25,24.25,24.25,0.15,3.64,27.89
143000255,Sofy Compact (Soft And Secure) 50pcs Large 3x50 52112P,1,461814,12/1/2030,1.00 ,19,19,16.01,16.01,16.01,16.01,0.15,2.4,18.41
143000098,Sofy Fem.Nap.30 Pads Wings Large 6x30,1,455328,12/1/2030,3.00 ,15,45,11.64,34.92,11.64,34.92,0.15,5.24,40.16
143000338,Sofy Feminine Antibacterial Musk 29cm 6x28,1,488824,12/1/2030,4.00 ,17,68,15.2,60.79,15.2,60.79,0.15,9.12,69.91
143000366,Sofy Feminine Napkin Olive 6x 24+2,1,533116,12/1/2030,4.00 ,18,72,14.1,56.4,14.1,56.4,0.15,8.46,64.86
143000357,Sofy Feminine Napkin Olive Large 29cm 12x10,1,510368,12/1/2030,4.00 ,7,28,4.67,18.67,4.67,18.67,0.15,2.8,21.47
143000359,Sofy Feminine Napkin Olive Large 29cm 6x30,1,455330,12/1/2030,2.00 ,15,30,11.64,23.28,11.64,23.28,0.15,3.49,26.77
143000325,Sofy Feminine Napkin Slim Anti-Bacteria Large 29cm 3x52,1,455332,12/1/2030,1.00 ,28,28,24.25,24.25,24.25,24.25,0.15,3.64,27.89
143000324,Sofy Gentle To Skin Anti-Bacteria 29cm Large 6x28,1,461816,12/1/2030,3.00 ,17,51,15.2,45.59,15.2,45.59,0.15,6.84,52.43
143000365,Sofy Pantyliners Olive Regular 8x40,1,455373,12/1/2030,6.00 ,18,108,15.95,95.67,15.95,95.67,0.15,14.35,110.02
143000253,Sofy Slim (Gentle To Skin) 23cm Regular 30x6,1,533113,12/1/2030,2.00 ,15,30,10.8,21.6,10.8,21.6,0.15,3.24,24.84
143000253,Sofy Slim (Gentle To Skin) 23cm Regular 30x6,1,489042,12/1/2030,6.00 ,15,90,11.64,69.84,11.64,69.84,0.15,10.48,80.32
143000257,Sofy Slim Gent To Skin 29cm Large (50+6)x3,1,455329,12/1/2030,3.00 ,24,72,20.37,61.11,20.37,61.11,0.15,9.17,70.28
143000341,Sofy Soft Secure Pad Slim 29cm Large 6x36,1,481749,12/1/2030,3.00 ,14,42,10.83,32.49,10.83,32.49,0.15,4.87,37.36
111002154,Solpadeine Capsules,J92X,536369,5/31/2027,7.00 ,13.15,92.05,13.15,92.05,10.96,76.71,0,0,76.71
111002155,Solpadeine Soluble tabs box/24 eff,R35U,545684,10/10/2026,20.00 ,13.15,263,13.15,263,10.96,219.18,0,0,219.18
111002155,Solpadeine Soluble tabs box/24 eff,L62N,536384,8/31/2026,2.00 ,13.15,26.3,13.15,26.3,10.96,21.92,0,0,21.92
121021843,Soma Massage&Body Oil 170ml,1,515577,5/1/2026,4.00 ,15,60,7,28,7,28,0.15,4.2,32.2
111002164,Sortiva - H 50/12.5mg rmbp 30 p,1149377,541030,8/1/2026,1.00 ,41.9,41.9,41.9,41.9,30.38,30.38,0,0,30.38
111002166,Sortiva tabs 50mg rmbp 30 p,1153471,524021,12/1/2027,2.00 ,45.35,90.7,45.35,90.7,29.1,58.2,0,0,58.2
111002166,Sortiva tabs 50mg rmbp 30 p,1153471,522641,12/31/2027,1.00 ,45.35,45.35,45.35,45.35,29.07,29.07,0,0,29.07
111003486,Spasmolyt 20mg 30 Tab,8165050,536745,10/1/2026,3.00 ,22.05,66.15,22.05,66.15,18.38,55.13,0,0,55.13
121008680,Spiral Lift Ankle Support S/S No 45,46,350889,12/1/2030,1.00 ,22,22,22,22,12.54,12.54,0,0,12.54
121021846,Stella White Teeth Whiteing 6 strips,1,515612,4/30/2026,2.00 ,60,120,45.9,91.8,45.9,91.8,0.15,13.77,105.57
111003019,Strepsils Extra 24 Loz,RE865,540487,8/31/2025,1.00 ,44,44,40,40,30.78,30.78,0,0,30.78
111003019,Strepsils Extra 24 Loz,RL074,549195,9/30/2025,4.00 ,44,176,44,176,33.86,135.43,0,0,135.43
111003902,Strepsils Ginger Warm,RT723,541031,12/31/2025,7.00 ,30.5,213.5,30.5,213.5,23.47,164.29,0,0,164.29
111004372,Strepsils Honey Lemon 36 Lozages,RN600,549196,9/1/2026,3.00 ,44,132,44,132,33.86,101.57,0,0,101.57
111002183,Strepsils Honey/Lemon 24loz,RB670,546224,6/30/2026,2.00 ,38,76,38,76,29.24,58.48,0,0,58.48
111003776,Strepsils Menthol 36loz,NE759,465551,9/1/2025,2.00 ,40,80,40,80,34.2,68.4,0,0,68.4
111002185,Strepsils Regular 24loz,1,510830,3/31/2026,3.00 ,38,114,26.52,79.56,26.52,79.56,0,0,79.56
111004455,Strepsils Sugarfree 36 box,1,538961,2/28/2026,2.00 ,44,88,29.2,58.4,29.2,58.4,0,0,58.4
111002186,Strepsils Sugarfree loz,1,538960,6/30/2026,4.00 ,30.5,122,22.27,89.08,22.27,89.08,0,0,89.08
121018279,Stylist Comb 0343,556677,450110,12/1/2030,2.00 ,7,14,7,14,4.55,9.1,0.15,1.37,10.47
111002191,Sudo 125gm cream,150582,545654,2/28/2026,5.00 ,39.8,199,39.8,199,29.85,149.26,0,0,149.26
111002192,Sudo 250gm cream,1,548134,2/28/2026,3.00 ,55.6,166.8,39,117,39,117,0,0,117
121011993,Sun Care Castor Oil Orange 60ml,1,534075,6/30/2027,1.00 ,8,8,4.8,4.8,4.8,4.8,0.15,0.72,5.52
121007160,Sun Care Clove Oil 15ml,1,518998,12/1/2030,2.00 ,10,20,4.7,9.4,4.7,9.4,0.15,1.41,10.81
151001767,Sungshhim Insulin Pen Needle 0.25mm 31,1,524116,11/11/2025,2.00 ,70,140,42,84,42,84,0,0,84
121022084,Sunsilk Cond Bye Bye Hair Fall 170ml,1,539012,3/27/2027,3.00 ,21,63,16.01,48.03,16.01,48.03,0.15,7.2,55.23
121022085,Sunsilk Cond Bye Bye Moist Bomb 170ml,1,539013,3/28/2027,3.00 ,21,63,16.01,48.03,16.01,48.03,0.15,7.2,55.23
121022086,Sunsilk Cond Bye Bye Out With Damage 170ml,1,539014,4/1/2027,2.00 ,21,42,16.01,32.02,16.01,32.02,0.15,4.8,36.82
121016059,Sunsilk Cond Instant Restore 350ml,1,515714,2/13/2027,2.00 ,18,36,11.4,22.8,11.4,22.8,0.15,3.42,26.22
121014932,Sunsilk Cond Nourishing Soft Smooth 350ml,1,515712,1/31/2027,1.00 ,18,18,11.4,11.4,11.4,11.4,0.15,1.71,13.11
121017031,Sunsilk Cond Shea Butter Nourishmenr 350ml,1,513070,7/9/2026,1.00 ,22,22,14.25,14.25,14.25,14.25,0.15,2.14,16.39
121004444,Sunsilk Cond Shine Strenght 350ml 203953,1,515711,1/13/2027,1.00 ,18,18,11.4,11.4,11.4,11.4,0.15,1.71,13.11
121011259,Sunsilk Cond Stunning Black Shine 350ml,1,515713,1/13/2027,3.00 ,18,54,11.4,34.2,11.4,34.2,0.15,5.13,39.33
121016959,Sunsilk Conditioner Coconut Moisture 350ml,1,513064,3/30/2026,1.00 ,22,22,14.25,14.25,14.25,14.25,0.15,2.14,16.39
121016960,Sunsilk Conditioner Curls Moisture 350ml,1,513065,8/31/2026,1.00 ,22,22,14.75,14.75,14.75,14.75,0.15,2.21,16.96
121004448,Sunsilk Conditioner Hair Fall Solution 350ml 203956,1,469055,10/31/2025,3.00 ,18,54,11.4,34.2,11.4,34.2,0.15,5.13,39.33
121016961,Sunsilk Conditioner Honey Anti Breakage 350ml,1,513066,6/30/2025,1.00 ,22,22,14.25,14.25,14.25,14.25,0.15,2.14,16.39
121018752,Sunsilk Conditioner Micellar Volume 350ml,1,463120,9/30/2025,3.00 ,22,66,14.25,42.75,14.25,42.75,0.15,6.41,49.16
121016963,Sunsilk Conditioner Thick Long 350ml,1,513069,6/30/2026,1.00 ,22,22,14.25,14.25,14.25,14.25,0.15,2.14,16.39
121021171,Sunsilk Hair Cream Anti Hair Fall  275ml,1,547151,12/28/2026,3.00 ,18,54,10.5,31.5,10.5,31.5,0.15,4.73,36.23
121021172,Sunsilk Hair Cream Defined Curls 275ml,1,547152,1/13/2027,2.00 ,18,36,10.5,21,10.5,21,0.15,3.15,24.15
121021722,Sunsilk Hair Cream Frizz Proff 275ml,1,547153,10/25/2026,2.00 ,18,36,10.5,21,10.5,21,0.15,3.15,24.15
121018935,Sunsilk Hair Cream Soft Smooth 275ml,1,547154,11/16/2026,3.00 ,18,54,10.5,31.5,10.5,31.5,0.15,4.73,36.23
121017032,Sunsilk Hair Mist Wild Damage Rose 160ml,1,463053,6/30/2024,4.00 ,28,112,20.5,82,20.5,82,0.15,12.3,94.3
121004501,Sunsilk Sham Dream Soft Smooth 200ml,1,539015,3/3/2027,2.00 ,11,22,6.83,13.66,6.83,13.66,0.15,2.05,15.71
121004501,Sunsilk Sham Dream Soft Smooth 200ml,1,488710,7/31/2026,1.00 ,11,11,6.83,6.83,6.83,6.83,0.15,1.02,7.85
121009280,Sunsilk Sham Dream Soft Smooth 400ml,1,548082,8/8/2027,6.00 ,20,120,11.51,69.06,11.51,69.06,0.15,10.36,79.42
121004503,Sunsilk Sham Dream Soft Smooth 700ml,1,513074,2/24/2026,1.00 ,28,28,18.78,18.78,18.78,18.78,0.15,2.82,21.6
121004503,Sunsilk Sham Dream Soft Smooth 700ml,1,534125,5/4/2027,1.00 ,28,28,18.78,18.78,18.78,18.78,0.15,2.82,21.6
121004493,Sunsilk Sham Hair Fall Solution 200ml 203881,1,515716,11/27/2026,4.00 ,11,44,6.83,27.32,6.83,27.32,0.15,4.1,31.42
121004493,Sunsilk Sham Hair Fall Solution 200ml 203881,1,488707,4/4/2026,1.00 ,11,11,6.83,6.83,6.83,6.83,0.15,1.02,7.85
121004494,Sunsilk Sham Hair Fall Solution 400ml 203900,1,548078,7/2/2027,6.00 ,20,120,11.51,69.06,11.51,69.06,0.15,10.36,79.42
121004495,Sunsilk Sham Hair Fall solution 700ml 203913,1,513072,6/30/2026,1.00 ,28,28,18.79,18.79,18.79,18.79,0.15,2.82,21.61
121004495,Sunsilk Sham Hair Fall solution 700ml 203913,1,548079,1/5/2027,3.00 ,28,84,18.79,56.37,18.79,56.37,0.15,8.46,64.83
121016100,Sunsilk Sham Instant Restore 200ml,1,496410,7/31/2026,1.00 ,11,11,6.83,6.83,6.83,6.83,0.15,1.02,7.85
121015867,Sunsilk Sham Instant Restore 400ml,1,548080,7/7/2027,6.00 ,20,120,11.51,69.06,11.51,69.06,0.15,10.36,79.42
121015867,Sunsilk Sham Instant Restore 400ml,1,511015,12/24/2026,1.00 ,20,20,11.51,11.51,11.51,11.51,0.15,1.73,13.24
121015901,Sunsilk Sham Instant Restore 700ml,1,548081,9/1/2027,3.00 ,28,84,18.78,56.34,18.78,56.34,0.15,8.45,64.79
121004482,Sunsilk Sham Shine Strenght 200ml 203878,1,546929,9/1/2026,3.00 ,11,33,6.83,20.49,6.83,20.49,0.15,3.07,23.56
121004499,Sunsilk Sham Shine Strength 400ml 203897,1,546930,4/1/2027,4.00 ,20,80,11.51,46.04,11.51,46.04,0.15,6.91,52.95
121004500,Sunsilk Sham Shine Strength 700ml 203910,1,513073,1/1/2027,1.00 ,28,28,18.78,18.78,18.78,18.78,0.15,2.82,21.6
121010995,Sunsilk Sham Stunning Black Shine 200ml,1,453072,1/23/2025,1.00 ,11,11,6.5,6.5,6.5,6.5,0.15,0.98,7.48
121010995,Sunsilk Sham Stunning Black Shine 200ml,1,500653,5/31/2026,2.00 ,11,22,6.83,13.66,6.83,13.66,0.15,2.05,15.71
121010996,Sunsilk Sham Stunning Black Shine 400ml,1,548083,5/26/2027,6.00 ,20,120,11.51,69.06,11.51,69.06,0.15,10.36,79.42
121010996,Sunsilk Sham Stunning Black Shine 400ml,1,515719,1/29/2027,2.00 ,20,40,11.51,23.02,11.51,23.02,0.15,3.45,26.47
121010997,Sunsilk Sham Stunning Black Shine 700ml,1,534126,3/29/2027,3.00 ,28,84,18.79,56.37,18.79,56.37,0.15,8.46,64.83
121016964,Sunsilk Shampo Coconut Moisture 400ml,1,538876,1/18/2027,2.00 ,21,42,12.68,25.36,12.68,25.36,0.15,3.8,29.16
121017037,Sunsilk Shampo Curls Moisture With Argan 400ml,1,470211,10/31/2025,1.00 ,21,21,12.68,12.68,12.68,12.68,0.15,1.9,14.58
121018378,Sunsilk Shampo Jasmin Refresh 400ml,1,462432,3/22/2025,1.00 ,21,21,12.68,12.68,12.68,12.68,0.15,1.9,14.58
121017039,Sunsilk Shampo Micellar Volume 400ml,1,463199,4/17/2025,1.00 ,21,21,12.68,12.68,12.68,12.68,0.15,1.9,14.58
121018493,Sunsilk Shampo Thick & Long 400 Ml,1,499881,5/31/2025,1.00 ,21,21,12.68,12.68,12.68,12.68,0.15,1.9,14.58
121018493,Sunsilk Shampo Thick & Long 400 Ml,1,538886,5/11/2027,3.00 ,21,63,12.68,38.04,12.68,38.04,0.15,5.71,43.75
121017298,Supaporn Whitening Scrup Soap Loofa,1,450677,6/30/2025,10.00 ,31,310,24,240,24,240,0.15,36,276
111004380,Super Royal Jelly,l3353,548431,9/30/2027,3.00 ,169,507,169,507,67.6,202.8,0,0,202.8
111004796,Super Yeast Collagen,l0137,548435,12/12/2026,3.00 ,98,294,98,294,39.2,117.6,0,0,117.6
121014875,Supporto Ankle Support (S),1,331109,12/1/2030,1.00 ,20,20,14,14,14,14,0.15,2.1,16.1
111002197,Suprax  100mg susp 60ml,230148,528815,5/1/2026,1.00 ,44.95,44.95,26.97,26.97,26.97,26.97,0,0,26.97
111002197,Suprax  100mg susp 60ml,230171,538087,5/24/2026,5.00 ,44.95,224.75,44.95,224.75,26.97,134.86,0,0,134.86
121015664,Sweet Baby Glass 240ml,1,450355,12/1/2030,2.00 ,20,40,20,40,13,26,0.15,3.9,29.9
131000636,Swisslac No.3 400g,1,549926,7/7/2025,1.00 ,37,37,32.5,32.5,32.5,32.5,0.15,4.88,37.38
111002208,Symbicort 160mcgTarb. 120 dos,SNMG,545656,12/31/2025,2.00 ,169.8,339.6,169.8,339.6,147.66,295.32,0,0,295.32
111004286,Synjadi 12.5/1000 60 Tab,F68953,543606,1/31/2027,1.00 ,171.5,171.5,171.5,171.5,149.14,149.14,0,0,149.14
111004427,Synjardi 5/1000 60tab,F04280,547665,5/31/2026,1.00 ,171.5,171.5,149.14,149.14,149.14,149.14,0,0,149.14
111004362,Synjardy 12.5/850 mg Tab,204942,483158,7/31/2025,1.00 ,165.8,165.8,165.8,165.8,144.18,144.18,0,0,144.18
111004023,Synjardy 5/850 mg tab,e85456,529034,2/28/2026,2.00 ,165.8,331.6,144.18,288.36,144.18,288.36,0,0,288.36
111003048,Systane Eye Drops 15ml,12HYW,547666,7/31/2026,1.00 ,31.05,31.05,25.87,25.87,25.87,25.87,0,0,25.87
111003048,Systane Eye Drops 15ml,127k0,541376,1/31/2026,1.00 ,31.05,31.05,31.05,31.05,25.87,25.87,0,0,25.87
111003680,Systane Ultra UD Eye Drops,24065a,528133,1/31/2026,1.00 ,47.8,47.8,47.8,47.8,39.83,39.83,0,0,39.83
111002221,Tabiflex Cool Gel 50g,4KK336D,547667,1/23/2027,4.00 ,13.45,53.8,7.47,29.88,7.47,29.88,0,0,29.88
111002221,Tabiflex Cool Gel 50g,4KK336D,543894,1/23/2027,2.00 ,13.45,26.9,13.45,26.9,8.07,16.14,0,0,16.14
111002226,Tabocine 100mg 10Cap,4LA260,531358,4/8/2027,1.00 ,28.85,28.85,20.2,20.2,20.2,20.2,0,0,20.2
111002226,Tabocine 100mg 10Cap,4la262,541377,6/12/2027,3.00 ,28.85,86.55,28.85,86.55,20.04,60.11,0,0,60.11
111002868,Tabunex Nasal Spray,4UW1098,541032,1/18/2027,1.00 ,46.25,46.25,46.25,46.25,28.91,28.91,0,0,28.91
111003185,Tabuvan 160mg 30Tab,3HJ210,544938,2/4/2026,1.00 ,36.1,36.1,27.44,27.44,27.44,27.44,0,0,27.44
