Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
151000858,Plastic Syring 10 ml cc,1,465621,8/1/2030,77,1.5,115.5,0.23,17.71,0.23,17.71,0,0,17.71
151000859,Plastic Syring 1ml 29x1.5,1,544946,8/1/2030,90,1,90,0.17,15.3,0.17,15.3,0,0,15.3
151000861,Plastic Syring 3 ml,1,452288,8/1/2030,364,1,364,0.16,58.24,0.16,58.24,0,0,58.24
111001827,Plavix 75mg 28tab,4KA0009,546209,8/1/2030,1,248.15,248.15,248.15,248.15,225.59,225.59,0,0,225.59
111003833,Plerus Plus Syrup100ml,wt173,544478,8/1/2030,20,39.95,799,7.99,159.8,7.99,159.8,0,0,159.8
111003833,Plerus Plus Syrup100ml,XT0062,532087,8/1/2030,35,39.95,1398.25,8,280,8,280,0,0,280
121017488,Ponds Age Miracle BB Cream Beige 25gm,1,456348,8/1/2030,3,52,156,35.88,107.64,35.88,107.64,0.15,16.15,123.79
121007193,Ponds Age Miracle Day Cream 50g 206145,1,547193,8/1/2030,2,68,136,51.52,103.04,51.52,103.04,0.15,15.46,118.5
121005335,Ponds Age Miracle Foam 100g,1,500731,8/1/2030,4,30,120,22.41,89.64,22.41,89.64,0.15,13.45,103.09
121019649,Ponds Face Wash Aloe Vera 100gm,1,500733,8/1/2030,2,28,56,19.58,39.16,19.58,39.16,0.15,5.87,45.03
121011691,Ponds Facial Foam Clear Solutions 100ml,1,548145,8/1/2030,1,27,27,18.45,18.45,18.45,18.45,0.15,2.77,21.22
121019194,Ponds Flawless Radiance Moist Night Cream Spf 30 50gm,1,548146,8/1/2030,1,61,61,44.14,44.14,44.14,44.14,0.15,6.62,50.76
121003731,Ponds Powder(Dream Flower)400g,1,500678,8/1/2030,2,15,30,8.5,17,8.5,17,0.15,2.55,19.55
111002951,Postinor 2 Tab,t34197,522631,8/1/2030,1,38.55,38.55,38.55,38.55,32.13,32.13,0,0,32.13
111002951,Postinor 2 Tab,T32458,539991,8/1/2030,2,38.55,77.1,32.13,64.26,32.13,64.26,0,0,64.26
111003868,Povidone Iodine Antisept Solution 240ml,1,530360,8/1/2030,1,28,28,14,14,14,14,0,0,14
111002931,Povidone Iodine Solution 10% 50ml,1,494065,8/1/2030,10,12,120,7,70,7,70,0,0,70
111001844,Pred Fort Eye Drops,405085,528986,8/1/2030,3,16.05,48.15,13.38,40.14,13.38,40.14,0,0,40.14
111001844,Pred Fort Eye Drops,405085,526750,8/1/2030,3,16.05,48.15,16.05,48.15,13.38,40.13,0,0,40.13
111001845,Prednisolone 5mg 30tab,539279,540609,8/1/2030,2,17.1,34.2,17.1,34.2,14.25,28.5,0,0,28.5
111001845,Prednisolone 5mg 30tab,537714,516596,8/1/2030,1,17.1,17.1,17.1,17.1,14.25,14.25,0,0,14.25
111003844,Predo 25Mg 30Tab,6943,538349,8/1/2030,1,41,41,41,41,30.75,30.75,0,0,30.75
111003844,Predo 25Mg 30Tab,7262,540004,8/1/2030,1,41,41,28.48,28.48,28.48,28.48,0,0,28.48
111003844,Predo 25Mg 30Tab,5981,510953,8/1/2030,1,41,41,41,41,29.04,29.04,0,0,29.04
