Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
111000686,Derma T( Solution) 30ml,4MF1140,545856,8/1/2030,1,22.15,22.15,22.15,22.15,13.29,13.29,0,0,13.29
111003162,Dermatin Cream 14g,3972,536785,8/1/2030,1,7.6,7.6,7.6,7.6,5.76,5.76,0,0,5.76
111003161,Dermatin Solution 20ml,2149,540989,8/1/2030,1,14.5,14.5,14.5,14.5,11.48,11.48,0,0,11.48
111003161,Dermatin Solution 20ml,2142,536801,8/1/2030,2,14.5,29,14.5,29,12.08,24.17,0,0,24.17
111000693,Dermovate 25gm cream,YD6G,545478,8/1/2030,8,9.45,75.6,9.45,75.6,7.88,63.01,0,0,63.01
111000694,Dermovate 25gm oint,XV8X,545479,8/1/2030,4,9.45,37.8,9.45,37.8,7.88,31.5,0,0,31.5
111003850,Deslin 5MLG TAB,23108900,540990,8/1/2030,2,28.25,56.5,28.25,56.5,16.95,33.9,0,0,33.9
111003602,Deslor 5mg 20Tab,AM0187,549322,8/1/2030,3,23.3,69.9,23.3,69.9,14.56,43.69,0,0,43.69
121010120,Dettol Anti Bactirial Wipes 20s,1,505239,8/1/2030,1,20,20,18.41,18.41,18.41,18.41,0.15,2.76,21.17
121000899,Dettol Antiseptic Solu 125 ml,1,505241,8/1/2030,1,9.9,9.9,9.9,9.9,9.9,9.9,0.15,1.49,11.39
121000900,Dettol Antiseptic Solu 250 ml,1,476393,8/1/2030,4,16,64,13.1,52.4,13.1,52.4,0.15,7.86,60.26
121000901,Dettol Antiseptic Solu 500 ml,1,505242,8/1/2030,1,31,31,31,31,31,31,0.15,4.65,35.65
121018211,Dettol Body Wash Cool 700ml,1,505246,8/1/2030,2,50,100,50,100,50,100,0.15,15,115
121013993,Dettol Disinfectant Spray Citrus 450ml,1,505244,8/1/2030,1,35.17,35.17,35.17,35.17,35.17,35.17,0.15,5.28,40.45
121000913,Dettol Hand Wash Original 200ml,1,548114,8/1/2030,12,15,180,10.66,127.92,10.66,127.92,0.15,19.19,147.11
121005800,Dettol Hand Wash Sensitive 250ml,1,548115,8/1/2030,2,15,30,10.66,21.32,10.66,21.32,0.15,3.2,24.52
121000923,Dettol Personal Care 250 ml (Green),1,476395,8/1/2030,1,17,17,12,12,12,12,0.15,1.8,13.8
121005341,Dettol Shower Gel Cool 300ml,1,505245,8/1/2030,2,24.96,49.92,24.96,49.92,24.96,49.92,0.15,7.49,57.41
121000934,Dettol Shower Gel Fresh 250ml,1,505247,8/1/2030,3,26,78,26,78,26,78,0.15,11.7,89.7
121000935,Dettol Shower Gel Fresh 250ml+Puff,1,505248,8/1/2030,2,30,60,30,60,30,60,0.15,9,69
121000939,Dettol Shower Gel Origenal 250ml,1,505249,8/1/2030,4,24.96,99.84,24.96,99.84,24.96,99.84,0.15,14.98,114.82
121013997,Dettol Shower Gel Origenal 500ml,1,500605,8/1/2030,1,38,38,25.5,25.5,25.5,25.5,0.15,3.83,29.33
121000943,Dettol Shower Gel Sensitive 500ml,1,500606,8/1/2030,2,38,76,26.5,53,26.5,53,0.15,7.95,60.95
121000944,Dettol Shower Gel Skin Care 250ml,1,505250,8/1/2030,1,26,26,26,26,26,26,0.15,3.9,29.9
121000907,Dettol Soap Fresh 165g,1,505254,8/1/2030,3,9.09,27.27,9.09,27.27,9.09,27.27,0.15,4.09,31.36
121000957,Dettol Soap Origenel 165 Gr,1,524812,8/1/2030,2,9.09,18.18,3.83,7.66,3.83,7.66,0.15,1.15,8.81
121000957,Dettol Soap Origenel 165 Gr,1,505255,8/1/2030,2,9.09,18.18,9.09,18.18,9.09,18.18,0.15,2.73,20.91
121000960,Dettol Soap Sensative 125g,1,505258,8/1/2030,2,7,14,7,14,7,14,0.15,2.1,16.1
121000948,Dettol Soap Skin Care 125g,1,524813,8/1/2030,3,6,18,2.25,6.75,2.25,6.75,0.15,1.01,7.76
121000962,Dettol Soap Skin Care 165 Gr,1,505257,8/1/2030,4,9.09,36.36,9.09,36.36,9.09,36.36,0.15,5.45,41.81
121000965,Dettol Spray Crips Linen 450 ml,1,505243,8/1/2030,1,35.17,35.17,31.96,31.96,31.96,31.96,0.15,4.79,36.75
111004477,Devarin 10mg 4 tab,BX0916,549164,8/1/2030,2,53.95,107.9,53.95,107.9,37.77,75.54,0,0,75.54
111004042,Devarin 20mg 4 Tab,BV1784,540504,8/1/2030,2.75,68.7,188.93,68.7,188.93,43.01,118.29,0,0,118.29
111000700,Dexaflox Opth. susp. (drops) 5ml/bt.,BA0349,531112,8/1/2030,1,14.95,14.95,10.47,10.47,10.47,10.47,0,0,10.47
111000700,Dexaflox Opth. susp. (drops) 5ml/bt.,BD0389,545480,8/1/2030,6,14.95,89.7,14.95,89.7,10.47,62.8,0,0,62.8
111003675,Dexilant 30mg 28Cap,513931,471962,8/1/2030,1,61.15,61.15,61.15,61.15,50.96,50.96,0,0,50.96
111003625,Dexilant 60mg 28 tab,513969,455498,8/1/2030,1,83.85,83.85,83.85,83.85,72.92,72.92,0,0,72.92
111003625,Dexilant 60mg 28 tab,516105,511357,8/1/2030,1,98.95,98.95,98.95,98.95,86.05,86.05,0,0,86.05
111000708,Dextrose 5% Oral Glass 90ml,150150,547502,8/1/2030,6,5,30,4.17,25.02,4.17,25.02,0,0,25.02
121011341,Diabetone 30 Cap,DSA2306T,549323,8/1/2030,2,20.4,40.8,20.4,40.8,17,34,0,0,34
111000714,Diamicron MR 30mg 30tab,6094036,549166,8/1/2030,5,24,120,24,120,20,100.01,0,0,100.01
111003553,Diamicron MR 60mg 30Tab,6088363,539732,8/1/2030,1,24,24,20,20,20,20,0,0,20
111003553,Diamicron MR 60mg 30Tab,6094812,545566,8/1/2030,8,24,192,24,192,20,160.01,0,0,160.01
111000715,Diane-35 21 tab,KT0LTB4,545857,8/1/2030,1,21.9,21.9,21.9,21.9,18.25,18.25,0,0,18.25
111004369,Diaoptim Mr 60mg 30 Tab,3095805,546144,8/1/2030,1,24,24,24,24,20,20,0,0,20
111000718,Dicetel 50mg tab 20,721413,484662,8/1/2030,1,14,14,14,14,11.67,11.67,0,0,11.67
111000723,Diclogesic Retard 100mg 10 tabs,8869,546145,8/1/2030,3,9.05,27.15,9.05,27.15,5.05,15.16,0,0,15.16
111000724,Diclogesic Retard 100mg 12 cap,2651,526660,8/1/2030,1,17.2,17.2,17.2,17.2,10.32,10.32,0,0,10.32
111000726,Diclomax Emulgel,7039,511327,8/1/2030,1,10.55,10.55,10.55,10.55,0,0,0,0,0
111003976,Diclopid 50 mg 20 Tab,4224005,540993,8/1/2030,2,9.1,18.2,9.1,18.2,5.08,10.16,0,0,10.16
111004053,Dicoflor 60mg 10 caps,MY885,527987,8/1/2030,2,68,136,68,136,45.34,90.67,0,0,90.67
111004526,Dicoflor Drops,M10573,535684,8/1/2030,3,98,294,98,294,68.18,204.53,0,0,204.53
121020013,Dicora Shampo Smooth Shine 800ml,55555,452088,8/1/2030,1,30,30,17.96,17.96,17.96,17.96,0.15,2.69,20.65
111000734,Differen 30gm cream,3074221,493166,8/1/2030,3,18.75,56.25,18.75,56.25,15.63,46.88,0,0,46.88
111000735,Diflucan 150mg 1cap,C031704,543931,8/1/2030,5,19.45,97.25,19.45,97.25,16.21,81.05,0,0,81.05
111000736,Digestyl 60 caps,23B126-1,546146,8/1/2030,1,69.55,69.55,69.55,69.55,51.43,51.43,0,0,51.43
111004376,Dilamuc Syrup 100ml,31122,540994,8/1/2030,2,54.85,109.7,54.85,109.7,28.8,57.6,0,0,57.6
111000742,Diovan 160mg 28 tab,B9082X,540995,8/1/2030,1,42.5,42.5,42.5,42.5,33.65,33.65,0,0,33.65
111000760,Divido 75 mg 20 Capsuls,4TJ640,545481,8/1/2030,1,30.65,30.65,30.65,30.65,18.39,18.39,0,0,18.39
111000761,Dizinil 50mg 20tab,4310,545862,8/1/2030,2,9.4,18.8,9.4,18.8,7.83,15.67,0,0,15.67
111000763,Dogmatil 50mg 30cap,N0807,545483,8/1/2030,3,21.4,64.2,21.4,64.2,17.83,53.5,0,0,53.5
111000764,Dogmatil fort 200mg 12tab,N1984,545482,8/1/2030,2,22.5,45,22.5,45,18.75,37.5,0,0,37.5
121018786,Dolphin Loofah Back Pad 8263,1,435044,8/1/2030,1,20,20,8.5,8.5,8.5,8.5,0.15,1.28,9.78
121018930,Dolphin Loofah Back Pad With Hand 7952,1,435046,8/1/2030,2,22,44,9.75,19.5,9.75,19.5,0.15,2.93,22.43
111000766,Dolvic K 50mg 20tab,1240387,546148,8/1/2030,5,11.15,55.75,11.15,55.75,6.5,32.52,0,0,32.52
111000767,Dompy 10 mg 30 tab,AM0360,540508,8/1/2030,8,16.25,130,16.25,130,9.07,72.59,0,0,72.59
111000768,Dompy oral susp. 200 ml,BC0278,549324,8/1/2030,9,19,171,19,171,14.25,128.26,0,0,128.26
111003880,Dorofen 500/50 90 caps,2410823,524259,8/1/2030,2,81.9,163.8,81.9,163.8,67.66,135.32,0,0,135.32
111003880,Dorofen 500/50 90 caps,2460523,510518,8/1/2030,1,81.9,81.9,81.9,81.9,65.52,65.52,0,0,65.52
111002902,Dorofen 500/50 mg Caps 40cap,2480823,545484,8/1/2030,1,36.4,36.4,36.4,36.4,27.61,27.61,0,0,27.61
111000770,Dostinex 0.5 mg 2 tab,HY9056,540509,8/1/2030,2,41.4,82.8,41.4,82.8,34.5,69.01,0,0,69.01
121014300,Dove Beauty Bar Revive  135 ml,1,492816,8/1/2030,1,10,10,5.1,5.1,5.1,5.1,0.15,0.77,5.87
121000994,Dove Beauty Cream 150ml 203022,1,469077,8/1/2030,3,12,36,8.65,25.95,8.65,25.95,0.15,3.89,29.84
121000994,Dove Beauty Cream 150ml 203022,1,473118,8/1/2030,3,12,36,8.65,25.95,8.65,25.95,0.15,3.89,29.84
121000995,Dove Beauty Cream 250ml 203023,1,469078,8/1/2030,8,18,144,13,104,13,104,0.15,15.6,119.6
121000996,Dove Beauty Cream 75ml 208122,1,496405,8/1/2030,3,8,24,5.25,15.75,5.25,15.75,0.15,2.36,18.11
121018601,Dove Body Wash Go Fresh Cucumber&Green Tea 250ml+Kit,1,500657,8/1/2030,2,30,60,19.5,39,19.5,39,0.15,5.85,44.85
121016661,Dove Body Wash Go Fresh Pomegrante 250ml+puff,1,500658,8/1/2030,2,30,60,19.5,39,19.5,39,0.15,5.85,44.85
