Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,total vat,total inc vat
121000665,Barak Cotton 250g,1,453940,12/1/2030,5.00 ,8,40,4.75,23.75,4.75,23.75,0,0,23.75
121000667,Barak Cotton 50 gr,1,507495,12/1/2030,1.00 ,3,3,0.95,0.95,0.95,0.95,0,0,0.95
151001391,Barak Cotton 500g,1,498967,10/10/2027,3.00 ,15,45,9.5,28.5,9.5,28.5,0,0,28.5
111000688,Barak Derma Tulle 10x10cm 50pcs,1,539056,3/30/2028,36.00 ,3,108,1.01,36.36,1.01,36.36,0,0,36.36
151001172,Barak Derma Tulle 10x20cm 50pcs,1,488358,12/1/2030,50.00 ,4,200,1.44,72,1.44,72,0,0,72
121001171,Barak Ear Rings,1,483998,12/1/2030,45.00 ,6,270,3.5,157.5,3.5,157.5,0.15,23.63,181.13
151000324,Barak Elastic Bandage Red 7.5x4cm,1,468959,12/1/2030,2.00 ,10,20,1.17,2.33,1.17,2.33,0,0,2.33
151000324,Barak Elastic Bandage Red 7.5x4cm,1,494067,12/1/2030,5.00 ,10,50,1.33,6.67,1.33,6.67,0,0,6.67
121010043,Barak Elastic Bandage Roll 15cm,1,452297,12/1/2030,11.00 ,16,176,2.08,22.92,2.08,22.92,0,0,22.92
121010043,Barak Elastic Bandage Roll 15cm,1,494148,12/1/2030,4.00 ,16,64,2.08,8.33,2.08,8.33,0,0,8.33
151000327,Barak Elastic Bandage Roll10x5.4mm,1,452296,12/1/2030,8.00 ,12,96,1.75,14,1.75,14,0,0,14
151000521,Barak Gauze Roll 7.5 cm (Egypt),1,468952,12/1/2030,12.00 ,2,24,0.75,9,0.75,9,0,0,9
151000520,Barak Gauze Swab Roll 10cm,1,452292,12/1/2030,25.00 ,4,100,1,25,1,25,0,0,25
121013915,Barak Gauze Swab Roll 15x6 cm,1,452291,12/1/2030,7.00 ,5,35,1.17,8.19,1.17,8.19,0,0,8.19
121008067,Barak Gauze Swab Roll 5 cm,1,453937,12/1/2030,19.00 ,2,38,0.58,11.08,0.58,11.08,0,0,11.08
151000528,Barak Gauze Swabs 10 X 10 cm,1,471530,12/1/2030,7.00 ,14,98,5.1,35.7,5.1,35.7,0,0,35.7
121007192,Barak Gauze Swabs 5x5cm,1,428991,12/1/2030,9.00 ,6,54,2.5,22.5,2.5,22.5,0,0,22.5
121006836,Barak Gauze Swabs 7.5x7.5cm,1,471529,12/1/2030,9.00 ,10,90,3.9,35.1,3.9,35.1,0,0,35.1
121005390,Barak Hot Water Bag,1,548805,12/1/2030,4.00 ,15,60,7.5,30,7.5,30,0.15,4.5,34.5
121006825,Barak KMB Eye Patch A2,333,498864,10/10/2025,11.00 ,19,209,10.2,112.2,10.2,112.2,0,0,112.2
121006825,Barak KMB Eye Patch A2,1,498863,10/10/2025,3.00 ,19,57,10.9,32.7,10.9,32.7,0,0,32.7
151000704,Barak Nebulizer With Mask (M),1,454232,12/1/2030,17.00 ,10,170,2.5,42.5,2.5,42.5,0,0,42.5
151000731,Barak One Touch Lancet,1,541015,12/1/2030,4.00 ,20,80,8,32,8,32,0,0,32
121007132,Barak Pharmapore 10x10cm,1,453929,12/1/2030,95.00 ,2,190,0.57,54.15,0.57,54.15,0,0,54.15
121015798,Barak Pharmapore 10x5cm,1,516370,12/1/2030,150.00 ,1,150,0.35,52.5,0.35,52.5,0,0,52.5
151001393,Barak Urinal 662B For Lady,1,494151,12/1/2030,2.00 ,25,50,10,20,10,20,0,0,20
151001153,Barak حجامة 12كاس,1,398857,12/1/2030,5.00 ,35,175,14,70,14,70,0,0,70
151001154,Barak حجامة 6 كلس,1,548813,12/1/2030,3.00 ,20,60,8.5,25.5,8.5,25.5,0,0,25.5
151001155,Barak عصا تطول وتقصر,1,461792,12/1/2030,1.00 ,38,38,21,21,21,21,0,0,21
121009790,Barak كرسي حمام بعجل,1,465617,12/1/2030,1.00 ,270,270,160,160,160,160,0,0,160
151001152,Barak كرسي حمام قاعدة,1,472114,12/1/2030,3.00 ,90,270,46,138,46,138,0,0,138
121006485,Barak كرسي عجزة صيني,1,514330,12/1/2030,1.00 ,420,420,245,245,245,245,0,0,245
151001157,Barak مشاية بدون عجل,1,461509,12/1/2030,1.00 ,120,120,76.8,76.8,76.8,76.8,0,0,76.8
121010326,Barakعكاز بكرسي,1,505428,12/1/2030,2.00 ,80,160,45,90,45,90,0,0,90
121020711,Batiste Dry Shampo 200ml,6555,472742,6/30/2025,2.00 ,45,90,25.65,51.3,25.65,51.3,0.15,7.7,59
121020711,Batiste Dry Shampo 200ml,1,472741,9/30/2025,2.00 ,45,90,27.55,55.1,27.55,55.1,0.15,8.27,63.37
111000259,Bd Micro F.Plus Insulin 0.5 ml 30 g,1,507494,12/1/2030,8.00 ,7,56,4.4,35.2,4.4,35.2,0,0,35.2
151001480,BD Micro Fine Plus 0.23mm 32g (Novo Fine Green),1,544547,2/2/2029,3.00 ,85,255,47,141,47,141,0,0,141
