Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
131000584,  Nan No 3  1800g (Scoop),1,540416,12/12/2025,1,161.47,161.47,153.50,153.5,153.50,153.50,0.15,23.03,176.53
131000584,  Nan No 3  1800g (Scoop),1,548545,4/1/2026,1,161.47,161.47,153.40,153.4,153.40,153.40,0.15,23.01,176.41
121000022,3003??? ???? BLF,1,461629,8/1/1931,1,8.70,8.70,5.57,5.57,5.57,5.57,0,0.00,5.57
121020017,4U Baby Bottle Plastic 120ml,333,452300,6/6/2026,1,17.39,17.39,11.75,11.75,11.75,11.75,0.15,1.76,13.51
121020020,4U Baby Bottle Plastic 60ml,333,452303,6/6/2026,4,14.37,57.48,11.00,44,11.00,44.00,0.15,6.60,50.60
121020024,4U Baby Nipple Large 3 pcs,333,452308,6/6/2026,1,6.09,6.09,5.00,5,5.00,5.00,0.15,0.75,5.75
121020027,4U Baby Nipple Small 1 pcs,333,452311,6/6/2026,2,14.37,28.74,11.00,22,11.00,22.00,0.15,3.30,25.30
121000044,A Lax 30 tab,23b180-1,532534,3/30/2026,1,42.00,42.00,42.00,42,29.75,29.75,0,0.00,29.75
121000044,A Lax 30 tab,23b180-1,540904,3/31/2026,2,42.00,84.00,42.00,84,29.99,59.98,0,0.00,59.98
121000045,A3 Lightening soap,1,518890,1/31/2028,6,28.00,168.00,21.50,129,21.50,129.00,0.15,19.35,148.35
121000046,A3 Medi Soap,1,548084,12/1/2027,3,28.00,84.00,21.50,64.5,21.50,64.50,0.15,9.68,74.18
111003819,Accu Chek Instant 50 Strips,1,535665,7/30/2025,1,100.00,100.00,78.00,78,78.00,78.00,0,0.00,78.00
111003819,Accu Chek Instant 50 Strips,1,538595,10/10/2025,1,100.00,100.00,78.00,78,78.00,78.00,0,0.00,78.00
111003819,Accu Chek Instant 50 Strips,1,518039,7/7/2025,1,100.00,100.00,78.00,78,78.00,78.00,0,0.00,78.00
111003040,Acetab 25mg 30Tab,NT416,540905,6/13/2026,2,20.25,40.50,20.25,40.5,15.36,30.71,0,0.00,30.71
111000014,Acetab 50 mg 30 tabs,NT820,540906,12/4/2026,2,34.20,68.40,34.20,68.4,25.94,51.87,0,0.00,51.87
111002913,Acical Plus Chewable Tab,6302,545686,7/17/2026,2,7.00,14.00,7.00,14,5.83,11.67,0,0.00,11.67
111000021,Aciloc 20 mg 14 cap,AN0400,536510,12/30/2025,2,45.95,91.90,45.95,91.9,26.41,52.82,0,0.00,52.82
111000022,Aciloc 40 mg 14 caps,ba0211,526626,1/1/2026,1,61.00,61.00,61.00,61,36.60,36.60,0,0.00,36.60
111000027,Acretin 0.05% cream 30 gm,AK0352,546125,9/1/2025,8,19.50,156.00,19.50,156,12.51,100.11,0,0.00,100.11
111004203,Acretin-C Gel 30gm/Tube,am0158,524067,5/13/2025,3,26.75,80.25,26.75,80.25,20.29,60.86,0,0.00,60.86
121018295,Activilong Hair Kit Relax Keratin Argan Regular Normal,1,548085,11/30/2027,1,47.83,47.83,24.30,24.3,24.30,24.30,0.15,3.65,27.95
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,548086,2/28/2028,1,47.83,47.83,24.30,24.3,24.30,24.30,0.15,3.65,27.95
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,515926,8/31/2027,1,47.83,47.83,24.30,24.3,24.30,24.30,0.15,3.65,27.95
121018297,Activilong Hair Kit Relax Macadamia Jojoba Regular,1,548087,3/31/2028,1,47.83,47.83,24.30,24.3,24.30,24.30,0.15,3.65,27.95
121018298,Activilong Hair Kit Relax Macadamia Jojoba Super,1,548088,3/31/2028,1,47.83,47.83,24.30,24.3,24.30,24.30,0.15,3.65,27.95
111003809,Actodryl Syrup 120ml,16611,530356,4/30/2025,2,12.00,24.00,12.00,24,7.69,15.39,0,0.00,15.39
111000033,Actos 15mg 30s,356124,508767,4/30/2027,1,51.70,51.70,51.70,51.7,36.19,36.19,0,0.00,36.19
111000034,Actos 30mg 30tab,356026,516797,9/1/2026,2,87.75,175.50,87.75,175.5,64.10,128.20,0,0.00,128.20
111003846,Adazio 25mg,23dh59,507903,11/30/2026,4,33.30,133.20,33.30,133.2,27.75,111.01,0,0.00,111.01
111003959,Adazio 300mg 30Tab,23DD39,510387,6/30/2026,1,113.95,113.95,113.95,113.95,94.14,94.14,0,0.00,94.14
121000065,Adidas Deo  Spray Ice Dive 150 ml,1,546934,10/14/2026,6,19.00,114.00,13.50,81,13.50,81.00,0.15,12.15,93.15
121014668,Adidas Deo Body Spray Dynamic Pulse 150 ml,1,546936,10/7/2026,6,19.00,114.00,13.50,81,13.50,81.00,0.15,12.15,93.15
121013920,Adidas Deo Body Spray Pure Game 150ml,1,546938,8/11/2026,4,19.00,76.00,13.50,54,13.50,54.00,0.15,8.10,62.10
