Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
121007765,Dat Med Medical Stocking,26,350816,12/1/1999,1,75.00,75.00,75.00,75,42.75,42.75,0,0.00,42.75
121007765,Dat Med Medical Stocking,9999999999,203024,11/11/2011,1,76.00,76.00,76.00,76,49.40,49.40,0,0.00,49.40
121007765,Dat Med Medical Stocking,9999999999,206287,12/1/1999,3,12.00,36.00,12.00,36,7.81,23.42,0,0.00,23.42
111000659,Decozal 0.05% nose drops,NA648,547480,3/29/2027,4,5.50,22.00,3.53,14.12,3.53,14.12,0,0.00,14.12
111004419,Decozal Children Nasal Spray 10ml,MF087,527891,2/1/2027,2,5.50,11.00,5.50,11,3.27,6.55,0,0.00,6.55
111004419,Decozal Children Nasal Spray 10ml,mf082,509967,9/1/2026,2,5.50,11.00,5.50,11,3.27,6.55,0,0.00,6.55
111000661,Deep Heat Rub 100g,40994,531100,4/30/2026,2,38.00,76.00,23.75,47.5,23.75,47.50,0,0.00,47.50
111000661,Deep Heat Rub 100g,40994,535683,4/30/2026,2,38.00,76.00,38.00,76,25.34,50.67,0,0.00,50.67
111000662,Deep Heat Rub 35 gm,40837,538153,2/28/2026,1,20.00,20.00,20.00,20,12.50,12.50,0,0.00,12.50
111000664,Deep Heat Spray 150 ml,bx616,538154,3/31/2026,1,54.00,54.00,54.00,54,33.75,33.75,0,0.00,33.75
111000668,Deflat drops 40mg 1ml  ×  30ml,243042,538237,7/8/2028,1,10.25,10.25,10.25,10.25,8.54,8.54,0,0.00,8.54
111000668,Deflat drops 40mg 1ml  ×  30ml,243039,530779,6/10/2028,1,10.25,10.25,8.54,8.54,8.54,8.54,0,0.00,8.54
111004269,Deflat Tab,241216,545708,8/3/2027,2,10.25,20.50,10.25,20.5,8.54,17.08,0,0.00,17.08
111000672,Defosalic Lotion 30ml,240131,546143,8/20/2026,3,13.10,39.30,13.10,39.3,10.92,32.75,0,0.00,32.75
111003495,Defosalic Ointment 30g,240100,547481,8/11/2026,3,13.70,41.10,11.42,34.26,11.42,34.26,0,0.00,34.26
111004529,Dentaheel Gel 20ml Vat,1,502425,5/5/2025,2,41.78,83.56,41.78,83.56,13.43,26.86,0.15,4.03,30.89
111003211,Dentinox Balm 15g,BXNOV23,531104,11/1/2026,1,45.00,45.00,37.50,37.5,37.50,37.50,0.15,5.63,43.13
111003211,Dentinox Balm 15g,bxnov23,525691,11/1/2026,2,45.00,90.00,45.00,90,34.13,68.26,0.15,10.24,78.50
111000675,Dentinox drops,bkotc23,512113,10/31/2025,4,37.00,148.00,37.00,148,28.79,115.15,0,0.00,115.15
111000676,Depakine 150ml syrup,669,516691,4/30/2025,1,20.85,20.85,20.85,20.85,17.38,17.38,0,0.00,17.38
111000677,Depakine 200mg 40tab,3r1px,538156,6/30/2026,3,18.45,55.35,18.45,55.35,15.38,46.13,0,0.00,46.13
111004215,Depakine 200mg Oral Solution 40ml,DLB06332,531106,9/30/2026,1,16.35,16.35,13.63,13.63,13.63,13.63,0,0.00,13.63
111000678,Depakine 500mg 40tab,3R25A,547501,8/31/2026,1,32.20,32.20,26.83,26.83,26.83,26.83,0,0.00,26.83
121011902,Depurdent Moth Wash,1,472670,11/30/2025,1,48.00,48.00,32.20,32.2,32.20,32.20,0,0.00,32.20
121020042,Dera Al Arayes Bath Towel,33,452561,6/30/2024,1,10.44,10.44,5.50,5.5,5.50,5.50,0.15,0.83,6.33
111000686,Derma T( Solution) 30ml,4MF1140,545856,6/1/2026,2,22.15,44.30,22.15,44.3,13.29,26.58,0,0.00,26.58
111000687,Derma T Topical Lotion  30ml sp.,4me277,518619,2/13/2026,1,22.15,22.15,22.15,22.15,13.29,13.29,0,0.00,13.29
111000687,Derma T Topical Lotion  30ml sp.,4ME277,531108,2/13/2026,2,22.15,44.30,13.29,26.58,13.29,26.58,0,0.00,26.58
111003162,Dermatin Cream 14g,3972,536785,5/13/2026,2,7.60,15.20,7.60,15.2,5.76,11.52,0,0.00,11.52
111003161,Dermatin Solution 20ml,2149,540989,3/24/2026,1,14.50,14.50,14.50,14.5,11.48,11.48,0,0.00,11.48
111003161,Dermatin Solution 20ml,2142,536801,12/1/2026,2,14.50,29.00,14.50,29,12.08,24.17,0,0.00,24.17
111000693,Dermovate 25gm cream,YD6G,545478,8/31/2026,13,9.45,122.85,9.45,122.85,7.88,102.38,0,0.00,102.38
111000694,Dermovate 25gm oint,XV8X,545479,8/1/2026,6,9.45,56.70,9.45,56.7,7.88,47.25,0,0.00,47.25
111003850,Deslin 5MLG TAB,23108900,540990,10/31/2026,2,28.25,56.50,28.25,56.5,16.95,33.90,0,0.00,33.90
121010120,Dettol Anti Bactirial Wipes 20s,1,505239,9/30/2025,1,20.00,20.00,18.41,18.41,18.41,18.41,0.15,2.76,21.17
121000899,Dettol Antiseptic Solu 125 ml,1,505241,12/30/2025,1,9.90,9.90,9.90,9.9,9.90,9.90,0.15,1.49,11.39
121000900,Dettol Antiseptic Solu 250 ml,1,476393,4/30/2025,4,16.00,64.00,13.10,52.4,13.10,52.40,0.15,7.86,60.26
121000901,Dettol Antiseptic Solu 500 ml,1,505242,7/31/2025,1,31.00,31.00,31.00,31,31.00,31.00,0.15,4.65,35.65
