Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
121000398,Barak Braun Thermoscan (Ear) Set (Big),1,538824,12/1/1999,1,380.00,380.00,240.00,240,240.00,240.00,0,0.00,240.00
121006537,Barak BraunTemposcan Cover,1,461785,12/1/1999,2,17.00,34.00,7.00,14,7.00,14.00,0,0.00,14.00
151001560,Barak BraunTemposcan Cover 1+1 (Offer),1,352367,1/1/2022,1,15.00,15.00,10.00,10,10.00,10.00,0,0.00,10.00
151001536,Barak Canchamber (L),1,451703,12/1/1999,1,60.00,60.00,25.00,25,25.00,25.00,0,0.00,25.00
121000664,Barak Cotton 100g,1,453939,12/1/1999,6,5.00,30.00,1.90,11.4,1.90,11.40,0,0.00,11.40
121000665,Barak Cotton 250g,1,453940,12/1/1999,6,8.00,48.00,4.75,28.5,4.75,28.50,0,0.00,28.50
121000667,Barak Cotton 50 gr,1,507495,12/1/1999,3,3.00,9.00,0.95,2.85,0.95,2.85,0,0.00,2.85
111000688,Barak Derma Tulle 10x10cm 50pcs,1,539056,3/30/2028,36,3.00,108.00,1.01,36.36,1.01,36.36,0,0.00,36.36
151001172,Barak Derma Tulle 10x20cm 50pcs,1,488358,12/1/1999,50,4.00,200.00,1.44,72,1.44,72.00,0,0.00,72.00
121001171,Barak Ear Rings,1,483998,12/1/1999,12,6.00,72.00,3.50,42,3.50,42.00,0.15,6.30,48.30
151000324,Barak Elastic Bandage Red 7.5x4cm,1,468959,12/1/1999,2,10.00,20.00,1.17,2.33,1.17,2.33,0,0.00,2.33
151000324,Barak Elastic Bandage Red 7.5x4cm,1,494067,12/1/1999,5,10.00,50.00,1.33,6.67,1.33,6.67,0,0.00,6.67
121010043,Barak Elastic Bandage Roll 15cm,1,494148,12/1/1999,4,16.00,64.00,2.08,8.33,2.08,8.33,0,0.00,8.33
121010043,Barak Elastic Bandage Roll 15cm,1,452297,12/1/1999,11,16.00,176.00,2.08,22.92,2.08,22.92,0,0.00,22.92
151000327,Barak Elastic Bandage Roll10x5.4mm,1,452296,12/1/1999,8,12.00,96.00,1.75,14,1.75,14.00,0,0.00,14.00
151000520,Barak Gauze Swab Roll 10cm,1,452292,12/1/1999,13,4.00,52.00,1.00,13,1.00,13.00,0,0.00,13.00
121013915,Barak Gauze Swab Roll 15x6 cm,1,452291,12/1/1999,9,5.00,45.00,1.17,10.53,1.17,10.53,0,0.00,10.53
121008067,Barak Gauze Swab Roll 5 cm,1,453937,12/1/1999,10,2.00,20.00,0.58,5.83,0.58,5.83,0,0.00,5.83
121008433,Barak Gauze Swab Roll 7.5 cm,1,452293,12/1/1999,1,3.00,3.00,0.75,0.75,0.75,0.75,0,0.00,0.75
151000528,Barak Gauze Swabs 10 X 10 cm,1,471530,12/1/1999,7,14.00,98.00,5.10,35.7,5.10,35.70,0,0.00,35.70
121007192,Barak Gauze Swabs 5x5cm,1,428991,12/1/1999,2,6.00,12.00,2.50,5,2.50,5.00,0,0.00,5.00
121006836,Barak Gauze Swabs 7.5x7.5cm,1,471529,12/1/1999,9,10.00,90.00,3.90,35.1,3.90,35.10,0,0.00,35.10
121006825,Barak KMB Eye Patch A2,333,498864,10/10/2025,11,19.00,209.00,10.20,112.2,10.20,112.20,0,0.00,112.20
121006825,Barak KMB Eye Patch A2,1,498863,10/10/2025,3,19.00,57.00,10.90,32.7,10.90,32.70,0,0.00,32.70
151000704,Barak Nebulizer With Mask (M),1,454232,12/1/1999,22,10.00,220.00,2.50,55,2.50,55.00,0,0.00,55.00
151000731,Barak One Touch Lancet,1,541015,12/1/1999,4,20.00,80.00,8.00,32,8.00,32.00,0,0.00,32.00
121007132,Barak Pharmapore 10x10cm,1,453929,12/1/1999,95,2.00,190.00,0.57,54.15,0.57,54.15,0,0.00,54.15
151001393,Barak Urinal 662B For Lady,1,494151,12/1/1999,2,25.00,50.00,10.00,20,10.00,20.00,0,0.00,20.00
151001155,Barak ??? ???? ?????,1,461792,12/1/1999,1,38.00,38.00,21.00,21,21.00,21.00,0,0.00,21.00
121009790,Barak ???? ???? ????,1,465617,12/1/1999,1,270.00,270.00,160.00,160,160.00,160.00,0,0.00,160.00
121006485,Barak ???? ???? ????,1,514330,12/1/1999,1,420.00,420.00,245.00,245,245.00,245.00,0,0.00,245.00
151001157,Barak ????? ???? ???,1,461509,8/1/1931,1,120.00,120.00,76.80,76.8,76.80,76.80,0,0.00,76.80
121010326,Barak???? ?????,1,505428,12/1/1999,2,80.00,160.00,45.00,90,45.00,90.00,0,0.00,90.00
121020711,Batiste Dry Shampo 200ml,6555,472742,6/30/2025,2,45.00,90.00,25.65,51.3,25.65,51.30,0.15,7.70,59.00
121020711,Batiste Dry Shampo 200ml,1,472741,9/30/2025,2,45.00,90.00,27.55,55.1,27.55,55.10,0.15,8.27,63.37
111000259,Bd Micro F.Plus Insulin 0.5 ml 30 g,1,507494,12/1/1999,8,7.00,56.00,4.40,35.2,4.40,35.20,0,0.00,35.20
111000261,Beauty Hair Cap 4770,1,381445,12/1/1999,1,14.50,14.50,7.08,7.08,7.08,7.08,0.15,1.06,8.14
131000366,Bebejunior 400g,1,537668,5/1/2025,1,36.00,36.00,33.35,33.35,33.35,33.35,0.15,5.00,38.35
131000366,Bebejunior 400g,1,517782,5/16/2025,1,36.00,36.00,33.35,33.35,33.35,33.35,0.15,5.00,38.35
131000362,Bebejunior 900g,1,522397,10/10/2026,1,78.00,78.00,72.10,72.1,72.10,72.10,0.15,10.82,82.92
131000362,Bebejunior 900g,1,548549,2/1/2026,3,78.00,234.00,65.32,195.96,65.32,195.96,0.15,29.39,225.35
131000018,Bebelac No 1 400g,1,527230,2/1/2025,1,38.00,38.00,35.98,35.98,35.98,35.98,0.15,5.40,41.38
131000021,Bebelac No 2  400g,1,527231,5/17/2025,1,38.00,38.00,35.98,35.98,35.98,35.98,0.15,5.40,41.38
131000023,Bebelac No 2 900g,1,536828,10/10/2026,2,82.00,164.00,77.15,154.3,77.15,154.30,0.15,23.15,177.45
121008616,Beesline Hygienic Wash 200ml,1,524808,6/9/2026,2,65.00,130.00,33.00,66,33.00,66.00,0.15,9.90,75.90
121017546,Beesline Sensifresh Whitening Sensitive Zone 150ml,1,496446,8/31/2025,2,75.00,150.00,45.00,90,45.00,90.00,0.15,13.50,103.50
121022219,Beesline Spf 50 1+50 Disc 60ml,1,546773,10/26/2026,3,87.00,261.00,58.50,175.5,58.50,175.50,0.15,26.33,201.83
121011199,Beesline whitening body exfoliating soap,1,524342,5/31/2025,3,25.00,75.00,15.00,45,15.00,45.00,0.15,6.75,51.75
121011199,Beesline whitening body exfoliating soap,1,496448,3/29/2025,2,25.00,50.00,13.50,27,13.50,27.00,0.15,4.05,31.05
121014551,Beesline Whitening Deodorant Beauty Pearl 48h Roll-On 50ml,1,546729,10/25/2026,3,56.00,168.00,33.00,99,33.00,99.00,0.15,14.85,113.85
121013907,Beesline Whitening Deodorant Cool Breeze 48h Roll-On 50ml,1,546770,2/1/2026,2,56.00,112.00,33.00,66,33.00,66.00,0.15,9.90,75.90
121013911,Beesline Whitening Deodorant Cotton Candy 48h Roll-On 50ml,1,518827,4/30/2026,1,56.00,56.00,33.00,33,33.00,33.00,0.15,4.95,37.95
121013909,Beesline Whitening Deodorant Elder Rose 48h Roll-On 50ml,1,546731,10/18/2026,3,56.00,168.00,33.00,99,33.00,99.00,0.15,14.85,113.85
121016256,Beesline Whitening Facial Soap Redberry 85g,1,548141,8/11/2026,5,28.00,140.00,15.00,75,15.00,75.00,0.15,11.25,86.25
121000272,Beesline Whitening Facial Wash 250ml,1,482049,1/31/2026,1,55.00,55.00,36.50,36.5,36.50,36.50,0.15,5.48,41.98
121009162,Beesline Whitening Sensitive Zone Soap 110g,1,500683,7/21/2026,2,40.00,80.00,20.50,41,20.50,41.00,0.15,6.15,47.15
121015016,Bel Nature Organic Cotton Buds 200pcs,1,340468,12/1/1999,7,10.00,70.00,10.00,70,5.00,35.00,0.15,5.25,40.25
111000279,Benzac ac 2.5 gel,3020234,498938,4/30/2025,1,12.45,12.45,12.45,12.45,10.38,10.38,0,0.00,10.38
111000279,Benzac ac 2.5 gel,3020234,535678,4/1/2025,2,12.45,24.90,12.45,24.9,10.38,20.75,0,0.00,20.75
111000280,Benzac AC 5% 60gm gel,4021283,541274,1/31/2026,2,17.45,34.90,17.45,34.9,14.54,29.09,0,0.00,29.09
111004118,Benzaflex 10mg 30 Tab,1151748,532163,10/1/2025,2,23.05,46.10,23.05,46.1,14.77,29.55,0,0.00,29.55
