Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
121003185,Nivea Cream 150ml,1,505386,8/31/2025,4,14,56,8.59,34.36,8.59,34.36,0.15,5.15,39.51
121003186,Nivea Cream 250ml,1,505387,7/31/2025,3,21,63,13,39,13,39,0.15,5.85,44.85
121003188,Nivea Cream 60ml,1,547230,5/30/2026,4,8,32,4.47,17.88,4.47,17.88,0.15,2.68,20.56
121016657,Nivea Deep Clean Shaving Gel 200ml,1,515817,5/31/2026,1,23,23,16.9,16.9,16.9,16.9,0.15,2.54,19.44
121016657,Nivea Deep Clean Shaving Gel 200ml,1,504788,1/31/2026,1,23,23,16.9,16.9,16.9,16.9,0.15,2.54,19.44
121015779,Nivea Deo Dry Comfort Spray Female 150ml,1,476526,12/13/2025,2,23,46,15.44,30.88,15.44,30.88,0.15,4.63,35.51
121015779,Nivea Deo Dry Comfort Spray Female 150ml,1,496396,3/31/2026,4,23,92,14.9,59.6,14.9,59.6,0.15,8.94,68.54
121005763,Nivea Deo Dry Impact Plus Spray Men 200ml,1,533289,5/31/2026,1,26,26,17.5,17.5,17.5,17.5,0.15,2.63,20.13
121005761,Nivea Deo Fresh Active Spray Men 200ml,1,476441,12/1/2025,2,26,52,18.16,36.32,18.16,36.32,0.15,5.45,41.77
121005761,Nivea Deo Fresh Active Spray Men 200ml,1,496202,12/31/2025,3,26,78,17.5,52.5,17.5,52.5,0.15,7.88,60.38
121014565,Nivea Deo Fresh Natural Spray Female 150ml,1,547226,5/30/2026,6,23,138,14.85,89.1,14.85,89.1,0.15,13.37,102.47
121014565,Nivea Deo Fresh Natural Spray Female 150ml,1,496390,12/31/2025,2,23,46,14.85,29.7,14.85,29.7,0.15,4.46,34.16
121005762,Nivea Deo Fresh Natural Spray Female 200ml,1,496392,3/31/2026,1,21,21,17.5,17.5,17.5,17.5,0.15,2.63,20.13
121012532,Nivea Deo Fresh Power Roll On 50ml 70651,1,516008,4/30/2026,8,19,152,12.1,96.8,12.1,96.8,0.15,14.52,111.32
121012533,Nivea Deo Fresh Power Spray 150ml 70652,1,516018,2/28/2026,2,23,46,14.9,29.8,14.9,29.8,0.15,4.47,34.27
121012533,Nivea Deo Fresh Power Spray 150ml 70652,1,522974,6/30/2026,3,23,69,14.9,44.7,14.9,44.7,0.15,6.71,51.41
121012534,Nivea Deo Fresh Power Spray 200ml 70653,1,456375,7/1/2024,1,26,26,16.24,16.24,16.24,16.24,0.15,2.44,18.68
121012534,Nivea Deo Fresh Power Spray 200ml 70653,1,475181,5/31/2025,3,26,78,18.16,54.48,18.16,54.48,0.15,8.17,62.65
121011972,Nivea Deo Natural Fairness Spray 150ml 71859,1,546952,7/31/2027,6,23,138,14.9,89.4,14.9,89.4,0.15,13.41,102.81
121012529,Nivea Deo Powder Touch Roll On Female 50ml 70614,1,547350,3/31/2027,6,19,114,12.1,72.6,12.1,72.6,0.15,10.89,83.49
121012287,Nivea Deo Powder Touch Spray Female 150ml 70615,1,539083,3/31/2027,3,23,69,14.9,44.7,14.9,44.7,0.15,6.71,51.41
121012287,Nivea Deo Powder Touch Spray Female 150ml 70615,1,496397,4/30/2026,1,23,23,14.9,14.9,14.9,14.9,0.15,2.24,17.14
121014918,Nivea Deo Protect & Care Spray 150ml,1,496172,8/31/2025,4,23,92,14.9,59.6,14.9,59.6,0.15,8.94,68.54
121016965,Nivea Deo Roll Clean Protect With Pure Alum 50ml,1,528695,9/30/2026,6,19,114,12.1,72.6,12.1,72.6,0.15,10.89,83.49
121016965,Nivea Deo Roll Clean Protect With Pure Alum 50ml,1,539071,11/30/2026,1,19,19,12.1,12.1,12.1,12.1,0.15,1.82,13.92
121016746,Nivea Deo Roll Deep Black Carbon Dark Wood 50ml,1,528720,8/31/2026,1,19,19,12.1,12.1,12.1,12.1,0.15,1.82,13.92
121016966,Nivea Deo Roll Deep Black Carbon Espresso 50ml,1,539079,4/30/2026,1,19,19,12.1,12.1,12.1,12.1,0.15,1.82,13.92
121016967,Nivea Deo Roll Fresh Cherry 50ml,1,522879,11/1/2026,6,19,114,12.1,72.6,12.1,72.6,0.15,10.89,83.49
121016967,Nivea Deo Roll Fresh Cherry 50ml,1,528696,11/30/2026,1,19,19,12.1,12.1,12.1,12.1,0.15,1.82,13.92
121014680,Nivea Deo Roll On Fresh Comfort 50ml,1,528697,4/30/2026,3,19,57,12.1,36.3,12.1,36.3,0.15,5.45,41.75
121021186,Nivea Deo Roll On Natural Radiance C E 50ml,1,547353,7/30/2026,6,19,114,12.1,72.6,12.1,72.6,0.15,10.89,83.49
121021186,Nivea Deo Roll On Natural Radiance C E 50ml,1,516022,3/31/2026,2,19,38,12.85,25.7,12.85,25.7,0.15,3.86,29.56
121006242,Nivea Deo Silver Protect Spray Men 150ml,1,475193,7/31/2025,4,23,92,15.44,61.76,15.44,61.76,0.15,9.26,71.02
121006242,Nivea Deo Silver Protect Spray Men 150ml,1,533298,11/30/2026,2,23,46,14.9,29.8,14.9,29.8,0.15,4.47,34.27
121003199,Nivea Deo Spray Aqua Cool 200ml,1,476552,12/31/2025,4,26,104,18.16,72.64,18.16,72.64,0.15,10.9,83.54
121017139,Nivea Deo Spray Black Charbon Espresso 150ml,1,533287,11/30/2026,2,23,46,14.9,29.8,14.9,29.8,0.15,4.47,34.27
121021853,Nivea Deo Spray Black Pearl Beauty 150ml,1,516025,5/30/2026,3,26,78,17.25,51.75,17.25,51.75,0.15,7.76,59.51
121016951,Nivea Deo Spray Clean Protect With Pure Alum 200ml,1,463044,6/1/2025,1,26,26,16.24,16.24,16.24,16.24,0.15,2.44,18.68
121018976,Nivea Deo Spray Deep Beats 150ml,1,476529,12/1/2025,1,23,23,15.4,15.4,15.4,15.4,0.15,2.31,17.71
121018976,Nivea Deo Spray Deep Beats 150ml,55,475194,12/31/2025,1,23,23,15.4,15.4,15.4,15.4,0.15,2.31,17.71
121016808,Nivea Deo Spray Deep Black Carbon Dark Wood 150ml,1,516013,11/30/2026,2,23,46,14.85,29.7,14.85,29.7,0.15,4.46,34.16
121016948,Nivea Deo Spray Dry Fresh Men 150ml,3333,448797,11/11/2024,3,23,69,17,51,11.05,33.15,0.15,4.97,38.12
121016675,Nivea Deo Spray Dry Fresh Women 150ml,1,496387,6/30/2025,3,23,69,14.9,44.7,14.9,44.7,0.15,6.71,51.41
121015910,Nivea Deo Spray Fresh Comfort 150ml,1,547352,10/31/2026,6,23,138,14.85,89.1,14.85,89.1,0.15,13.37,102.47
121016310,Nivea Deo Spray Invisible Black & White Silky Smooth 150ml,1,496400,2/1/2026,1,23,23,14.9,14.9,14.9,14.9,0.15,2.24,17.14
121016310,Nivea Deo Spray Invisible Black & White Silky Smooth 150ml,1,516035,11/1/2026,2,23,46,14.9,29.8,14.9,29.8,0.15,4.47,34.27
121016949,Nivea Deo Spray Men Frseh Ocean 150ml,1,533296,9/30/2026,2,23,46,14.85,29.7,14.85,29.7,0.15,4.46,34.16
121021187,Nivea Deo Spray Natural Radiance C E 150ml,1,534972,5/30/2026,2,26,52,17.25,34.5,17.25,34.5,0.15,5.18,39.68
121021189,Nivea Deo Stick Cool Kick 50ml,1,547354,4/30/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121021189,Nivea Deo Stick Cool Kick 50ml,1,516027,8/31/2025,1,28,28,16.2,16.2,16.2,16.2,0.15,2.43,18.63
121021854,Nivea Deo Stick Deep Black Carbon 50ml,1,547355,12/31/2025,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121021010,Nivea Deo Stick Dry Comfort Female 50ml,1,516029,10/30/2025,2,28,56,16.2,32.4,16.2,32.4,0.15,4.86,37.26
121021010,Nivea Deo Stick Dry Comfort Female 50ml,1,547356,1/31/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121020810,Nivea Deo Stick Fresh Active 50ml,1,476530,4/1/2025,1,23,23,18.16,18.16,18.16,18.16,0.15,2.72,20.88
121020810,Nivea Deo Stick Fresh Active 50ml,1,547357,9/30/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121020810,Nivea Deo Stick Fresh Active 50ml,1,512709,8/31/2025,1,28,28,16.2,16.2,16.2,16.2,0.15,2.43,18.63
121021099,Nivea Deo Stick Fresh Natural 50ml,1,546849,8/31/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121021855,Nivea Deo Stick Natural Fairness 50ml,1,547358,10/31/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121021855,Nivea Deo Stick Natural Fairness 50ml,1,516033,7/30/2025,2,28,56,16.2,32.4,16.2,32.4,0.15,4.86,37.26
121021840,Nivea Deo Stick Pearl Beauty 50ml,1,547359,7/31/2026,6,28,168,16.2,97.2,16.2,97.2,0.15,14.58,111.78
121007853,Nivea Dry Roll-On Men 50ml,1,539081,9/30/2026,1,19,19,12.1,12.1,12.1,12.1,0.15,1.82,13.92
121017142,Nivea Fresh Cool Shaving Gel 200ml,1,512819,1/31/2025,2,23,46,16.9,33.8,16.9,33.8,0.15,5.07,38.87
121013789,Nivea Invisible Black & White Fresh Roll On 50ml 70690,1,496398,4/1/2025,1,19,19,12.25,12.25,12.25,12.25,0.15,1.84,14.09
121016205,Nivea Invisible Black & White Original Spray 150 ml,1,515808,10/31/2026,1,23,23,14.9,14.9,14.9,14.9,0.15,2.24,17.14
121018836,Nivea Invisible Black & White Roll On Original Men 50ml,1,496399,8/31/2025,1,19,19,12.25,12.25,12.25,12.25,0.15,1.84,14.09
121016202,Nivea Invisible Black & White Silky Smooth Roll On 50ml,1,534975,3/31/2026,1,19,19,12,12,12,12,0.15,1.8,13.8
121013299,Nivea Men Cream 150ml 70685,1,476555,8/31/2025,5,23,115,15.37,76.85,15.37,76.85,0.15,11.53,88.38
121013299,Nivea Men Cream 150ml 70685,1,515813,6/30/2026,3,23,69,13.95,41.85,13.95,41.85,0.15,6.28,48.13
121013297,Nivea Men Fairness Cream 75ml 70683,1,515814,5/31/2026,1,13,13,7.69,7.69,7.69,7.69,0.15,1.15,8.84
121012544,Nivea Natural Fairness Body Lotion 250ml 70077,1,512692,9/30/2025,1,21,21,13.75,13.75,13.75,13.75,0.15,2.06,15.81
121011975,Nivea Natural Fairness Face / Body Cream 200ml 71977,1,515815,12/31/2025,1,19,19,12.49,12.49,12.49,12.49,0.15,1.87,14.36
