Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
131000584,  Nan No 3  1800g (Scoop),1,540416,12/12/2025,1,161.47,161.47,153.5,153.5,153.5,153.5,0.15,23.03,176.53
131000584,  Nan No 3  1800g (Scoop),1,548545,4/1/2026,1,161.47,161.47,153.4,153.4,153.4,153.4,0.15,23.01,176.41
121000022,3003صحن صبغة BLF,1,461629,8/1/2030,1,8.7,8.7,5.57,5.57,5.57,5.57,0,0,5.57
121020017,4U Baby Bottle Plastic 120ml,333,452300,6/6/2026,1,17.39,17.39,11.75,11.75,11.75,11.75,0.15,1.76,13.51
121020020,4U Baby Bottle Plastic 60ml,333,452303,6/6/2026,4,14.37,57.48,11,44,11,44,0.15,6.6,50.6
121020024,4U Baby Nipple Large 3 pcs,333,452308,6/6/2026,1,6.09,6.09,5,5,5,5,0.15,0.75,5.75
121020027,4U Baby Nipple Small 1 pcs,333,452311,6/6/2026,2,14.37,28.74,11,22,11,22,0.15,3.3,25.3
121000044,A Lax 30 tab,23b180-1,532534,3/30/2026,1,42,42,42,42,29.75,29.75,0,0,29.75
121000045,A3 Lightening soap,1,518890,1/31/2028,6,28,168,21.5,129,21.5,129,0.15,19.35,148.35
121000046,A3 Medi Soap,1,548084,12/1/2027,3,28,84,21.5,64.5,21.5,64.5,0.15,9.68,74.18
111003098,Acc 200 Mg Powder Oral Solution,MW0479,545457,6/30/2025,2,11.4,22.8,11.4,22.8,9.5,19,0,0,19
151001750,Accu Check Pen,1,518997,8/1/2030,1,35,35,20,20,20,20,0,0,20
151000008,Accu Chek Active System,1,534726,8/1/2030,1,240,240,95,95,95,95,0,0,95
111003819,Accu Chek Instant 50 Strips,1,538595,10/10/2025,1,100,100,78,78,78,78,0,0,78
111003819,Accu Chek Instant 50 Strips,1,518039,7/7/2025,1,100,100,78,78,78,78,0,0,78
111002901,Accu Chek Performa Test 50 Strips,1,548811,6/30/2025,2,90,180,62,124,62,124,0,0,124
111003040,Acetab 25mg 30Tab,NT416,540905,6/13/2026,2,20.25,40.5,20.25,40.5,15.36,30.71,0,0,30.71
111000014,Acetab 50 mg 30 tabs,NT820,540906,12/4/2026,2,34.2,68.4,34.2,68.4,25.94,51.87,0,0,51.87
111000021,Aciloc 20 mg 14 cap,AN0400,536510,12/30/2025,2,45.95,91.9,45.95,91.9,26.41,52.82,0,0,52.82
111000022,Aciloc 40 mg 14 caps,ba0211,526626,1/1/2026,1,61,61,61,61,36.6,36.6,0,0,36.6
111000027,Acretin 0.05% cream 30 gm,AK0352,546125,9/1/2025,5,19.5,97.5,19.5,97.5,12.51,62.57,0,0,62.57
111000028,Acretin 0.25 % Cream 30 gm,AN0238,549247,12/1/2025,10,18.85,188.5,18.85,188.5,12.1,120.96,0,0,120.96
111004203,Acretin-C Gel 30gm/Tube,am0158,524067,5/13/2025,2,26.75,53.5,26.75,53.5,20.29,40.57,0,0,40.57
121018295,Activilong Hair Kit Relax Keratin Argan Regular Normal,1,548085,11/30/2027,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.65,27.95
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,548086,2/28/2028,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.65,27.95
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,515926,8/31/2027,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.65,27.95
121018297,Activilong Hair Kit Relax Macadamia Jojoba Regular,1,548087,3/31/2028,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.65,27.95
121018298,Activilong Hair Kit Relax Macadamia Jojoba Super,1,548088,3/31/2028,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.65,27.95
111000033,Actos 15mg 30s,356124,508767,4/30/2027,1,51.7,51.7,51.7,51.7,36.19,36.19,0,0,36.19
111000034,Actos 30mg 30tab,356026,516797,9/1/2026,2,87.75,175.5,87.75,175.5,64.1,128.2,0,0,128.2
111003957,Adazio 100mg 60 Tab,24DA88,549248,4/30/2027,1,75.95,75.95,75.95,75.95,62.74,62.74,0,0,62.74
